app_id,app_name,developer,genre,price,num_reviews,avg_rating,pct_low_rating,installs,ratings,first_review_date,last_review_date
ai.turbolearn,Turbo AI - Notetaker,Turbo AI,Education,0.0,500,4.47,7.8,1000000,231322.0,2025-12-31 11:07:15,2026-01-11 00:36:03
ai.plaud.android.plaud,Plaud: AI Notetaker,PLAUD LLC,Tools,0.0,500,4.41,11.4,100000,7277.0,2025-05-25 08:33:37,2026-01-10 05:06:10
com.codespaceapps.meetingtranscriber,Smart Noter - AI Note Taker,Deep Flow Apps,Productivity,0.0,500,3.7,28.2,5000000,61106.0,2025-09-28 11:20:40,2026-01-10 12:25:42
com.aisense.otter,OtterAI Transcribe Voice Notes,Otter.ai,Productivity,0.0,500,2.83,50.2,5000000,25629.0,2025-02-13 13:35:16,2026-01-09 21:53:57
com.myscript.nebo,MyScript Notes (Nebo),MyScript,Productivity,0.0,500,3.13,41.0,1000000,30118.0,2025-07-27 04:06:26,2026-01-10 23:22:52
com.microsoft.office.onenote,Microsoft OneNote: Save Notes,Microsoft Corporation,Productivity,0.0,500,3.79,26.0,500000000,1455686.0,2025-12-04 06:07:04,2026-01-10 23:36:55
com.innosq.soundtypeai,SoundType AI - Voice To Text,Innosquares limited,Productivity,0.0,500,4.3,12.2,1000000,41009.0,2025-08-11 05:24:43,2026-01-10 10:48:06
com.langogo.transcribe,Notta-Transcribe Audio to Text,NOTTA PTE. LTD.,Productivity,0.0,500,3.05,45.0,1000000,17856.0,2025-01-30 21:27:10,2026-01-10 19:07:32
com.google.android.apps.labs.language.tailwind,Google NotebookLM,Google LLC,Productivity,0.0,500,4.52,7.0,10000000,104499.0,2025-12-28 20:56:59,2026-01-11 00:53:29
com.goodnotes.android.app,"Goodnotes: AI Notes, Docs, PDF",Goodnotes,Productivity,0.0,500,2.32,63.6,1000000,24406.0,2025-10-05 19:53:56,2026-01-10 21:35:03
easynotes.notes.notepad.notebook.privatenotes.note,Easy Notes - Note Taking Apps,"Gulooloo Tech Co., Ltd.",Productivity,0.0,500,4.65,5.6,10000000,385641.0,2025-12-04 03:26:42,2026-01-10 19:56:10
io.labhouse.audioapp,Summary - AI Note Taker,Labhouse Mobile,Productivity,0.0,500,3.92,22.2,100000,17487.0,2025-11-08 22:13:31,2026-01-10 23:24:14
notion.id,"Notion: Notes, Tasks, AI","Notion Labs, Inc.",Productivity,0.0,500,3.89,23.0,10000000,325077.0,2025-11-24 17:49:48,2026-01-10 18:28:00
newway.good.note.ai.notepad.notebook.checklist.gpt,AI Notes & Transcribe Memo,Newway Apps,Productivity,0.0,500,3.63,30.6,1000000,5400.0,2023-06-29 17:15:42,2026-01-02 02:06:04
com.yygg.note.app,"Notewise - AI Notes, PDF, Docs",Notewise,Productivity,0.0,500,3.71,27.0,5000000,23788.0,2025-09-17 15:38:03,2026-01-10 20:57:25
com.studocu.app,Studocu: AI Notes & Summaries,Studocu,Education,0.0,500,4.48,7.8,1000000,20157.0,2025-08-04 08:28:52,2026-01-09 18:49:30
com.zoho.notebook,Notebook - AI Notes & Notepad,Zoho Corporation,Productivity,0.0,500,4.01,20.4,5000000,62431.0,2025-10-16 20:06:23,2026-01-10 19:18:25
